met2013,V1,year,raw_lnw,N
0,0.639399045587785,2006,2.50103406605564,376371
10420,0.700321270989886,2006,2.63034965662246,3545
10580,0.765954089305244,2006,2.72364737052172,4452
10740,0.711053938680635,2006,2.60604534176224,3944
10780,0.594956193845126,2006,2.46396475065688,973
10900,0.787698089265569,2006,2.69747947382357,3788
11020,0.591758908853213,2006,2.47641695352307,667
11100,0.624311848812863,2006,2.44520968599753,1212
11260,0.87675674684482,2006,2.78064875315901,1736
11460,0.746259690551719,2006,2.74119762005144,1580
11500,0.640457362911359,2006,2.46866038394033,504
12020,0.622937223923633,2006,2.44338108397424,1021
12060,0.82970478930986,2006,2.75628539597283,24505
12100,0.834702989881295,2006,2.69340356375946,1456
12220,0.683800845535867,2006,2.52607670252865,919
12260,0.727943099813954,2006,2.58696430209541,2308
12420,0.76015930250425,2006,2.67078860892084,7856
12540,0.802414641115287,2006,2.55431337105991,3332
12580,0.909178760293417,2006,2.84656236454972,13625
12620,0.595792657206857,2006,2.52631322834409,919
12700,0.803161629402189,2006,2.79439892413543,1174
12940,0.705380965312048,2006,2.53414446646626,3348
12980,0.724404374466417,2006,2.60850963125231,768
13140,0.742453749884925,2006,2.56521474718426,1817
13380,0.756556247688381,2006,2.62118909365816,869
13460,0.727343784016313,2006,2.65570623977312,631
13740,0.600114064308971,2006,2.50330449035011,599
13780,0.701214971765699,2006,2.61183057930535,1477
13820,0.737787765965429,2006,2.65076885303972,4665
13980,0.579206405900519,2006,2.40102793792485,935
14010,0.696957426438545,2006,2.58055416304572,1094
14020,0.541931555353541,2006,2.38309959891993,661
14260,0.72287868124591,2006,2.6260378839175,2349
14460,0.893431445348943,2006,2.89475760303978,24068
14740,0.825258413178871,2006,2.76672865759588,1203
14860,1.03440947242898,2006,3.05013639948651,4338
15180,0.442999210816224,2006,2.26513905063249,1436
15380,0.726342020639614,2006,2.658601461504,5573
15500,0.692962068429354,2006,2.51154424113303,697
15540,0.665302265373205,2006,2.63026878948098,908
15940,0.659291680907924,2006,2.54623622099123,2111
15980,0.803433297711633,2006,2.6934954273363,2898
16580,0.610094543027224,2006,2.5073177907129,1259
16700,0.701680204221217,2006,2.59766944101011,3358
16740,0.763185752951774,2006,2.66323341882082,9739
16820,0.719216629416814,2006,2.67418678518204,952
16860,0.67951355244506,2006,2.56257087964026,2291
16980,0.868602506297403,2006,2.79567049216285,41096
17020,0.722579744636047,2006,2.55525570857122,1059
17140,0.789649161334741,2006,2.71114688450312,9905
17300,0.653423005427936,2006,2.49500933976769,1207
17460,0.767779771253905,2006,2.69311057148375,10698
17780,0.586370974988405,2006,2.3564707371923,793
17820,0.708812981366509,2006,2.64251290983792,3068
17860,0.634629084365474,2006,2.55197048374396,782
18140,0.78479980886339,2006,2.71596698023252,8743
18580,0.648609944334246,2006,2.47550366537767,1674
19100,0.802924038824633,2006,2.6895573138132,29048
19300,0.687488948985096,2006,2.58673305731148,691
19340,0.674410320450315,2006,2.58471187993902,1969
19380,0.716937726325222,2006,2.62158323535675,4011
19460,0.61990001862726,2006,2.48496631797205,698
19500,0.715273575255735,2006,2.62051594436251,665
19660,0.6886056333977,2006,2.58198225453184,3002
19740,0.830880309577192,2006,2.79560138701428,12668
19820,0.847760579984973,2006,2.78608601068241,17558
20100,0.783452579936785,2006,2.60200702079136,707
20500,0.738983701760991,2006,2.6626057082797,2257
20700,0.774803964097272,2006,2.65617237170348,482
20740,0.645884979643688,2006,2.52990979317981,890
20940,0.764866862392847,2006,2.54887270023992,590
21060,0.611540754904656,2006,2.4702527178853,601
21140,0.706496960595899,2006,2.56288363067077,925
21340,0.539870444909451,2006,2.37206767497057,2985
21500,0.586797531360745,2006,2.50144316871171,1397
21660,0.673971345410829,2006,2.5917787986464,1771
21780,0.716423898067469,2006,2.61962601686919,1356
22140,0.653659753633214,2006,2.48264241746608,434
22180,0.63719673298942,2006,2.47799004743881,1495
22220,0.695219856497903,2006,2.53363193709064,1849
22380,0.658921164739074,2006,2.52591711564778,622
22420,0.718221020727735,2006,2.62228907612352,2089
22520,0.612885891327478,2006,2.51141066162813,656
22660,0.730876215337265,2006,2.69573919187195,1459
23060,0.725070787000721,2006,2.64248628799562,1773
23420,0.764439703601012,2006,2.56423872998612,3788
23460,0.581890813866147,2006,2.44043520697418,445
23540,0.649103524982495,2006,2.5374063133955,1312
23580,0.729836952887126,2006,2.56926159136626,830
24020,0.714481075361743,2006,2.6163766085861,881
24140,0.608374369490415,2006,2.42216595667274,989
24300,0.660127462619699,2006,2.52401693991792,646
24340,0.741479186466786,2006,2.64683713230744,3575
24540,0.741364864916256,2006,2.59818869481932,1358
24660,0.71076052963097,2006,2.59181456698525,3738
24780,0.646938056654923,2006,2.50025733509228,757
24860,0.69076398135361,2006,2.55969959183741,4586
25060,0.704762631948799,2006,2.57195613536075,1324
25220,0.71895612233447,2006,2.5200650939658,371
25260,0.686087605925304,2006,2.42848444771555,657
25420,0.781311692378044,2006,2.71209782518612,2864
25540,0.901441493063086,2006,2.84565338430596,6426
25620,0.619515593020532,2006,2.47210155009658,554
25860,0.664170675058541,2006,2.5303934786521,1890
25940,0.671151735947394,2006,2.5603735824074,787
26380,0.667502147978835,2006,2.45121689777107,891
26420,0.790364036316179,2006,2.66748367722332,23139
26620,0.729784635666664,2006,2.66411180564386,1926
26900,0.758110977175408,2006,2.69235883548277,8957
26980,0.643535998904436,2006,2.61558186428598,601
27100,0.639907772955307,2006,2.52609894214378,711
27140,0.718622473343405,2006,2.60076126246633,2173
27180,0.655553851496409,2006,2.511081811119,597
27260,0.796212272510557,2006,2.69045533183,6575
27340,0.577953178839859,2006,2.29274254006197,884
27500,0.698579178241638,2006,2.57097193381365,687
27780,0.601682641412123,2006,2.5218532555375,827
27900,0.565895053930128,2006,2.40577102311864,872
28020,0.717029444107842,2006,2.61577910079197,1667
28100,0.739294888917214,2006,2.61048460114265,614
28140,0.770767471401186,2006,2.71120342588714,8596
28420,0.763909298324303,2006,2.62838840684694,1040
28660,0.67341654795897,2006,2.51370898271856,1600
28700,0.584310816596673,2006,2.48170676348299,1608
28940,0.652985326370317,2006,2.57239256958401,4381
29100,0.639677764234535,2006,2.55680353082672,548
29180,0.712681803872326,2006,2.54049710095335,1651
29340,0.706103797427694,2006,2.52378738075598,811
29420,0.592162928218856,2006,2.40729722533439,816
29460,0.703516466054031,2006,2.54206237850904,3078
29540,0.755963635066509,2006,2.63496137620863,2329
29620,0.700913637962871,2006,2.62097444569107,2401
29700,0.542277024909504,2006,2.31097675277599,778
29740,0.484568337830632,2006,2.34015976528407,699
29820,0.906668141852041,2006,2.76648710281964,9357
30140,0.727818344140965,2006,2.55411626573246,660
30340,0.661503809110559,2006,2.5429603963819,412
30700,0.625597492236561,2006,2.56488555226473,1159
30780,0.697131063771209,2006,2.60247162060589,2894
31080,0.884353261514303,2006,2.75523643139264,56715
31140,0.741147876438392,2006,2.66095323576776,6510
31180,0.574694046366986,2006,2.39878402211806,1409
31340,0.692113871414751,2006,2.54081782181116,1276
31460,0.803987294256714,2006,2.54512100921451,506
31700,0.841579356437454,2006,2.82452456339598,1680
31900,0.703712114362195,2006,2.57238074379634,583
32580,0.537756396222689,2006,2.26057019237354,2135
32780,0.655949219363815,2006,2.53609646047204,845
32820,0.762504417943888,2006,2.62779897558339,5783
32900,0.797855937644823,2006,2.51176094407439,926
33100,0.76432215005636,2006,2.68717754742022,25554
33140,0.716190051718751,2006,2.59763283833096,646
33260,0.704702435639007,2006,2.56141250638617,593
33340,0.801566175441426,2006,2.72903419870028,5365
33460,0.864453397809242,2006,2.84271704276659,12254
33660,0.65152293407353,2006,2.50760225337443,1707
33700,0.864063408023612,2006,2.65945902325776,2277
33740,0.655032484549999,2006,2.48945624884397,643
33780,0.829111933222281,2006,2.7308359835085,712
33860,0.71823301452539,2006,2.58778547114947,1620
34060,0.552947724072111,2006,2.42774361594311,630
34620,0.601010952271814,2006,2.41489595502573,609
34740,0.689964421903981,2006,2.56145900624769,796
34900,0.977037359894443,2006,2.89367309328762,661
34940,0.854705371122439,2006,2.73360458307952,1345
34980,0.760327967689492,2006,2.67030849254633,7889
35300,0.889345854817242,2006,2.8330353927496,4232
35380,0.739473685968938,2006,2.62071947871991,4495
35620,0.935362110342815,2006,2.88984226305121,84435
35660,0.715789288949003,2006,2.61594983166291,928
35840,0.785470640979567,2006,2.71300172780518,3571
35980,0.871748853016401,2006,2.82840688267138,1496
36100,0.695792916303816,2006,2.53510428620959,1356
36140,0.845826584630464,2006,2.78079943728524,574
36220,0.645325217036762,2006,2.40719901359484,580
36260,0.737775686629238,2006,2.62204655087745,2438
36420,0.671211399852111,2006,2.54866078858597,5512
36500,0.800493211004369,2006,2.75188170834194,1060
36540,0.700176281563183,2006,2.61495251589676,4292
36740,0.742683514773181,2006,2.65019655679907,10821
36980,0.697238622267747,2006,2.6033930137271,545
37100,0.95253303506258,2006,2.83936630381662,4023
37340,0.719533633715639,2006,2.66538742239431,2739
37460,0.699494332613362,2006,2.58289333574286,949
37860,0.658294275334599,2006,2.54139123739239,2307
37900,0.754587450137808,2006,2.6825125090487,2243
37980,0.869727176266214,2006,2.80604066631872,25819
38060,0.818933366927397,2006,2.70994889810514,19740
38300,0.681423492311706,2006,2.64749083260753,11218
38340,0.745982141663295,2006,2.63024807725198,701
38860,0.700595598991874,2006,2.68505220922462,2179
38900,0.788630433502533,2006,2.74465676887268,10364
38940,0.736914672292587,2006,2.62577112099257,1869
39140,0.699993532808059,2006,2.55965521075101,792
39300,0.830886673945137,2006,2.7356036916894,8257
39340,0.657781922808002,2006,2.48682490854668,2194
39380,0.623472768366908,2006,2.4977006531979,678
39460,0.744511205916152,2006,2.64825411185562,602
39540,0.786456183542425,2006,2.72245135976768,701
39580,0.783482436073684,2006,2.75377833445336,5088
39740,0.747946960953361,2006,2.61258235411641,2044
39820,0.719705219382872,2006,2.59490604403539,786
39900,0.812082131746849,2006,2.71324148317029,2175
40060,0.812719872367762,2006,2.718995158619,6204
40140,0.881715561167463,2006,2.6784204292243,16165
40380,0.709934145641691,2006,2.65492294511802,5961
40420,0.739102997524455,2006,2.62597068409917,1784
40580,0.595754034887909,2006,2.38407157924684,715
40900,0.894261636153063,2006,2.79669357246328,9754
40980,0.625636237597026,2006,2.53107143117437,922
41060,0.714455645575492,2006,2.58559206980197,1169
41180,0.786591833739182,2006,2.7185426410295,12933
41500,0.884026896542856,2006,2.66939678494059,2164
41540,0.747505099261704,2006,2.61069273827315,2041
41620,0.745318971601698,2006,2.63491064055673,4641
41660,0.603978838813536,2006,2.44088734743047,555
41700,0.676787069878289,2006,2.53127356626379,9293
41740,0.889890835964409,2006,2.80790111448448,14779
41860,0.999222288244193,2006,2.9993286509133,19982
41940,1.03969029295439,2006,3.04709388721709,8320
42020,0.796688269964068,2006,2.65981677518639,1222
42100,0.908585620087788,2006,2.83026086949382,1343
42140,0.77253245790707,2006,2.71975053821481,894
42200,0.796373271279857,2006,2.63047409380172,2075
42220,0.890594362875694,2006,2.79998383338958,2323
42540,0.650318754879228,2006,2.54844093201543,3630
42660,0.889436344008561,2006,2.86647765990721,16567
43100,0.69287375810876,2006,2.59811010871864,660
43340,0.687331368815102,2006,2.53052402462074,1748
43900,0.691927928492218,2006,2.56745287194197,1352
44060,0.661755382105687,2006,2.58365732037868,2409
44100,0.752315044532858,2006,2.68095372007904,1634
44140,0.774105717250999,2006,2.6578174552996,3110
44180,0.600911895741806,2006,2.48988361955696,1894
44220,0.688816698754631,2006,2.554728680518,739
44300,0.590802827989887,2006,2.44225519015412,836
44700,0.910896841860036,2006,2.70536218266907,2844
44940,0.623837127877132,2006,2.48068182930282,463
45060,0.700172797348839,2006,2.63013857548048,3677
45220,0.666960809434927,2006,2.54917633905466,1842
45300,0.742351428501562,2006,2.66774153604416,14197
45460,0.659544760506752,2006,2.53154388084647,834
45780,0.707812911427276,2006,2.5949356420032,3285
45940,0.931136720743853,2006,2.90602405801172,1680
46060,0.727139597700001,2006,2.63381494403131,4634
46340,0.688169241288089,2006,2.5383592319646,934
46520,0.837873864484791,2006,2.75673553887205,4526
46540,0.656600961786562,2006,2.55699363264848,1931
46660,0.605970252851953,2006,2.41767349440738,682
46700,0.965114481598471,2006,2.82319198865854,1967
47220,0.845469076392097,2006,2.64101713739287,833
47260,0.76914228891891,2006,2.63343249550717,8820
47300,0.801958796976997,2006,2.56164287509339,1955
47380,0.628675098514994,2006,2.44247986855989,1207
47900,0.995770378170736,2006,2.99634965410349,28161
48140,0.734944404127673,2006,2.62618834244562,890
48620,0.672303830890635,2006,2.57536885261662,2605
48660,0.625791939062224,2006,2.46243300612759,667
48700,0.54943659408298,2006,2.45920548573985,887
49180,0.710988640696609,2006,2.60119534227484,3141
49340,0.862431254334546,2006,2.79823483520036,4110
49420,0.697757399625809,2006,2.46397214223024,924
49620,0.738254366697215,2006,2.64382783279418,2110
49660,0.64093966516348,2006,2.52248566387594,2996
49700,0.835904901456938,2006,2.63670564433182,753
49740,0.720016626678948,2006,2.44923767923394,777
